user_id,gender,age_id,age_range,occupation_id,occupation,cp
1,F,1,Under 18,10,K-12 student,48067
2,M,56,56+,16,self-employed,70072
3,M,25,25-34,15,scientist,55117
4,M,45,45-49,7,executive/managerial,02460
5,M,25,25-34,20,writer,55455
6,F,50,50-55,9,homemaker,55117
7,M,35,35-44,1,academic/educator,06810
8,M,25,25-34,12,programmer,11413
9,M,25,25-34,17,technician/engineer,61614
10,F,35,35-44,1,academic/educator,95370
11,F,25,25-34,1,academic/educator,04093
12,M,25,25-34,12,programmer,32793
13,M,45,45-49,1,academic/educator,93304
14,M,35,35-44,0,other or not specified,60126
15,M,25,25-34,7,executive/managerial,22903
16,F,35,35-44,0,other or not specified,20670
17,M,50,50-55,1,academic/educator,95350
18,F,18,18-24,3,clerical/admin,95825
19,M,1,Under 18,10,K-12 student,48073
20,M,25,25-34,14,sales/marketing,55113
21,M,18,18-24,16,self-employed,99353
22,M,18,18-24,15,scientist,53706
23,M,35,35-44,0,other or not specified,90049
24,F,25,25-34,7,executive/managerial,10023
25,M,18,18-24,4,college/grad student,01609
26,M,25,25-34,7,executive/managerial,23112
27,M,25,25-34,11,lawyer,19130
28,F,25,25-34,1,academic/educator,14607
29,M,35,35-44,7,executive/managerial,33407
30,F,35,35-44,7,executive/managerial,19143
31,M,56,56+,7,executive/managerial,06840
32,F,25,25-34,0,other or not specified,19355
33,M,45,45-49,3,clerical/admin,55421
34,F,18,18-24,0,other or not specified,02135
35,M,45,45-49,1,academic/educator,02482
36,M,25,25-34,3,clerical/admin,94123
37,F,25,25-34,9,homemaker,66212
38,F,18,18-24,4,college/grad student,02215
39,M,18,18-24,4,college/grad student,61820
40,M,45,45-49,0,other or not specified,10543
41,F,18,18-24,4,college/grad student,15116
42,M,25,25-34,8,farmer,24502
43,M,25,25-34,12,programmer,60614
44,M,45,45-49,17,technician/engineer,98052
45,F,45,45-49,16,self-employed,94110
46,M,18,18-24,19,unemployed,75602
47,M,18,18-24,4,college/grad student,94305
48,M,25,25-34,4,college/grad student,92107
49,M,18,18-24,12,programmer,77084
50,F,25,25-34,2,artist,98133
51,F,1,Under 18,10,K-12 student,10562
52,M,18,18-24,4,college/grad student,72212
53,M,25,25-34,0,other or not specified,96931
54,M,50,50-55,1,academic/educator,56723
55,F,35,35-44,12,programmer,55303
56,M,35,35-44,20,writer,60440
57,M,18,18-24,19,unemployed,30350
58,M,25,25-34,2,artist,30303
59,F,50,50-55,1,academic/educator,55413
60,M,50,50-55,1,academic/educator,72118
61,M,25,25-34,17,technician/engineer,95122
62,F,35,35-44,3,clerical/admin,98105
63,M,18,18-24,4,college/grad student,54902
64,M,18,18-24,1,academic/educator,53706
65,M,35,35-44,12,programmer,55803
66,M,25,25-34,18,tradesman/craftsman,57706
67,F,50,50-55,5,customer service,60181
68,M,18,18-24,4,college/grad student,53706
69,F,25,25-34,1,academic/educator,02143
70,M,18,18-24,4,college/grad student,53703
71,M,25,25-34,14,sales/marketing,95008
72,F,45,45-49,0,other or not specified,55122
73,M,18,18-24,4,college/grad student,53706
74,M,35,35-44,14,sales/marketing,94530
75,F,1,Under 18,10,K-12 student,01748
76,M,35,35-44,7,executive/managerial,55413
77,M,18,18-24,4,college/grad student,15321
78,F,45,45-49,1,academic/educator,98029
79,F,45,45-49,0,other or not specified,98103
80,M,56,56+,1,academic/educator,49327
81,F,25,25-34,0,other or not specified,60640
82,M,25,25-34,17,technician/engineer,48380
83,F,25,25-34,2,artist,94609
84,M,18,18-24,4,college/grad student,53140
85,M,18,18-24,4,college/grad student,94945
86,F,1,Under 18,10,K-12 student,54467
87,M,25,25-34,14,sales/marketing,48360
