Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,68 Studley St,2,h,,SS,Jellis,3/09/2016,2.5,3067,2,1,1,126,,,Yarra,-37.8014,144.9958,Northern Metropolitan,4019
Abbotsford,85 Turner St,2,h,1480000,S,Biggin,3/12/2016,2.5,3067,2,1,1,202,,,Yarra,-37.7996,144.9984,Northern Metropolitan,4019
Abbotsford,25 Bloomburg St,2,h,1035000,S,Biggin,4/02/2016,2.5,3067,2,1,0,156,79,1900,Yarra,-37.8079,144.9934,Northern Metropolitan,4019
Abbotsford,18/659 Victoria St,3,u,,VB,Rounds,4/02/2016,2.5,3067,3,2,1,0,,,Yarra,-37.8114,145.0116,Northern Metropolitan,4019
Abbotsford,5 Charles St,3,h,1465000,SP,Biggin,4/03/2017,2.5,3067,3,2,0,134,150,1900,Yarra,-37.8093,144.9944,Northern Metropolitan,4019
Abbotsford,40 Federation La,3,h,850000,PI,Biggin,4/03/2017,2.5,3067,3,2,1,94,,,Yarra,-37.7969,144.9969,Northern Metropolitan,4019
Abbotsford,55a Park St,4,h,1600000,VB,Nelson,4/06/2016,2.5,3067,3,1,2,120,142,2014,Yarra,-37.8072,144.9941,Northern Metropolitan,4019
Abbotsford,16 Maugie St,4,h,,SN,Nelson,6/08/2016,2.5,3067,3,2,2,400,220,2006,Yarra,-37.7965,144.9965,Northern Metropolitan,4019
Abbotsford,53 Turner St,2,h,,S,Biggin,6/08/2016,2.5,3067,4,1,2,201,,1900,Yarra,-37.7995,144.9974,Northern Metropolitan,4019
Abbotsford,99 Turner St,2,h,,S,Collins,6/08/2016,2.5,3067,3,2,1,202,,1900,Yarra,-37.7996,144.9989,Northern Metropolitan,4019
Abbotsford,129 Charles St,2,h,941000,S,Jellis,7/05/2016,2.5,3067,2,1,0,181,,,Yarra,-37.8041,144.9953,Northern Metropolitan,4019
Abbotsford,124 Yarra St,3,h,1876000,S,Nelson,7/05/2016,2.5,3067,4,2,0,245,210,1910,Yarra,-37.8024,144.9993,Northern Metropolitan,4019
Abbotsford,121/56 Nicholson St,2,u,,PI,Biggin,7/11/2016,2.5,3067,2,2,1,4292,82,2009,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,17 Raphael St,4,h,,W,Biggin,7/11/2016,2.5,3067,6,2,0,230,147,1860,Yarra,-37.8066,144.9936,Northern Metropolitan,4019
Abbotsford,98 Charles St,2,h,1636000,S,Nelson,8/10/2016,2.5,3067,2,1,2,256,107,1890,Yarra,-37.806,144.9954,Northern Metropolitan,4019
Abbotsford,217 Langridge St,3,h,1000000,S,Jellis,8/10/2016,2.5,3067,,,,,,,,,,Northern Metropolitan,4019
Abbotsford,18a Mollison St,2,t,745000,S,Jellis,8/10/2016,2.5,3067,,,,,,,,,,Northern Metropolitan,4019
Abbotsford,6/241 Nicholson St,1,u,300000,S,Biggin,8/10/2016,2.5,3067,1,1,1,0,,,Yarra,-37.8008,144.9973,Northern Metropolitan,4019
Abbotsford,10 Valiant St,2,h,1097000,S,Biggin,8/10/2016,2.5,3067,3,1,2,220,75,1900,Yarra,-37.801,144.9989,Northern Metropolitan,4019
Abbotsford,403/609 Victoria St,2,u,542000,S,Dingle,8/10/2016,2.5,3067,,,,,,,,,,Northern Metropolitan,4019
Abbotsford,2 Rich St,2,h,,SP,Biggin,10/12/2016,2.5,3067,2,1,1,176,80,1925,Yarra,-37.7998,144.9972,Northern Metropolitan,4019
