,id,name,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour
0,2154652,154652 (2004 EP20),False,483.6764882185,1081.533506775,1995-01-07,789467580000,Earth,16.1428635186,58114.3086669449
1,3153509,(2003 HM),True,96.5061469579,215.7943048444,1995-01-07,789491340000,Earth,12.3510438151,44463.7577343496
2,3516633,(2010 HA),False,44.1118199997,98.6370281305,1995-01-07,789446820000,Earth,6.2204353548,22393.5672772916
3,3837644,(2019 AY3),False,46.1907460282,103.2856480504,1995-01-07,789513900000,Earth,22.4786152837,80923.0150213416
4,3843493,(2019 PY),False,22.1082810359,49.435619262,1995-01-07,789446700000,Earth,4.9986912098,17995.2883553078
5,3765015,(2016 WR48),False,160.1603379786,358.1294030194,1995-01-08,789569160000,Earth,7.4650893561,26874.3216818148
6,3824107,(2018 JB3),False,802.7031672829,1794.8988477988,1995-01-08,789562440000,Earth,32.1607528615,115778.71030144
7,2446862,446862 (2001 VB76),True,231.5021222103,517.6544821978,1995-01-08,789556380000,Earth,7.5907111593,27326.560173582
8,3623683,(2013 AG53),False,27.8326768072,62.2357573367,1995-01-05,789285720000,Earth,5.4474225417,19610.7211502161
9,3645123,(2013 NX23),False,483.6764882185,1081.533506775,1995-01-05,789345060000,Earth,21.6051988007,77778.7156823659
10,2416151,416151 (2002 RQ25),False,192.5550781879,430.566244241,1995-01-05,789276480000,Earth,7.6363343327,27490.8035975483
11,3550117,(2010 VB),False,20.1629919443,45.0858206172,1995-01-05,789316320000,Earth,7.7759841602,27993.542976657
12,3471692,(2009 UP1),False,291.4439045349,651.6883821679,1995-01-06,789402360000,Earth,13.7631523886,49547.3485989409
13,3713272,(2015 EF7),False,35.0392641108,78.3501764334,1995-01-06,789367860000,Earth,6.6616654938,23981.9957775161
14,2137062,137062 (1998 WM),False,1272.1987853936,2844.7229650327,1995-01-06,789367620000,Earth,9.6048767738,34577.5563855991
15,3893486,(2019 WN2),False,8.4053340207,18.7948982439,1995-01-06,789352860000,Earth,7.0205499158,25273.9796969348
16,3766463,(2017 AY13),True,133.2155666981,297.8790627982,1995-01-03,789096660000,Earth,14.2350916869,51246.3300727039
17,3342323,(2006 SF6),True,278.3267680719,622.3575733667,1995-01-03,789120000000,Earth,5.2486366908,18895.0920867914
18,2002102,2102 Tantalus (1975 YA),True,1677.0846216284,3750.0752179805,1995-01-03,789169980000,Earth,32.4056287596,116660.263534654
19,2452807,452807 (2006 KV89),True,146.0679642714,326.6178974458,1995-01-03,789103980000,Earth,5.2019174692,18726.9028892138
20,2481394,481394 (2006 SF6),True,278.3267680719,622.3575733667,1995-01-03,789157020000,Earth,5.2487147466,18895.3730879092
21,2308041,308041 (2004 TN),False,441.1181999969,986.3702813054,1995-01-04,789244380000,Earth,15.4530476495,55630.9715383354
22,3359282,(2006 WN3),False,291.4439045349,651.6883821679,1995-01-04,789184320000,Earth,14.2722708044,51380.1748958573
23,3485631,(2010 AF40),False,26.58,59.4346868419,1995-01-04,789194220000,Earth,25.3475444872,91251.1601539319
24,3825569,(2018 NF1),False,31.9561886721,71.4562101727,1995-01-04,789234240000,Earth,9.81018732,35316.6743519151
25,2002101,2101 Adonis (1936 CA),True,461.9074602816,1032.8564805039,1995-01-04,789187800000,Earth,15.4327926846,55558.0536647278
26,2138947,138947 (2001 BA40),False,506.4714588346,1132.5046106177,1995-01-04,789221760000,Earth,10.1550915818,36558.3296945282
27,3716433,(2015 HA1),False,152.9519353442,342.0109247198,1995-01-04,789225180000,Earth,17.398716775,62635.3803901775
28,3766036,(2016 XR23),False,22.1082810359,49.435619262,1995-01-04,789246000000,Earth,19.5043542583,70215.675330042
29,3843734,(2019 RA),False,21.113244479,47.2106498806,1995-01-04,789178620000,Earth,5.4829884789,19738.7585239395
30,3703080,(2014 YW34),True,121.4940407996,271.6689340891,1995-01-01,788954880000,Earth,6.1687778278,22207.600180231
31,3792437,(2017 XR61),False,63.7609789875,142.5738833281,1995-01-01,788968980000,Earth,16.5213860889,59476.989919936
32,3723955,(2015 NK3),False,146.0679642714,326.6178974458,1995-01-01,788930700000,Earth,18.1139850263,65210.3460948409
33,3553279,(2010 XB24),True,116.0259082094,259.4418179074,1995-01-02,789059520000,Earth,14.9782587738,53921.7315857621
34,3825428,(2018 MA5),False,14.6067964271,32.6617897446,1995-01-02,789017280000,Earth,6.4021620104,23047.7832375179
35,3639467,(2013 LC1),False,44.1118199997,98.6370281305,1995-01-02,789075420000,Earth,11.5802363188,41688.8507475223
36,3703059,(2014 YE15),False,5.8150703965,13.0028927004,1995-01-02,789051600000,Earth,15.1128684067,54406.326264187
37,3943319,(2019 YS),False,1.332155667,2.978790628,1995-01-02,789086460000,Earth,2.9755350607,10711.9262185554
38,54016806,(2020 HT7),False,11.2345317672,25.1211767268,1995-01-02,789018840000,Earth,7.1500141326,25740.0508773213
39,3842683,(2019 LO),False,8.0270316728,17.948988478,1995-01-09,789627180000,Earth,7.6152812259,27415.0124133414
40,3366282,(2007 BD),False,22.1082810359,49.435619262,1995-01-09,789652920000,Earth,23.3997220939,84238.9995379446
41,3544935,(2010 PW58),True,121.4940407996,271.6689340891,1995-01-09,789669240000,Earth,11.1607357991,40178.6488767589
42,3797669,(2018 AW11),False,17.561231848,39.2681081809,1995-01-09,789667320000,Earth,5.7808744202,20811.1479127669
43,3735599,(2015 WA13),False,16.0160337979,35.8129403019,1995-01-09,789674400000,Earth,8.1492924834,29337.4529404107
44,3102756,(2002 AO11),False,76.6575573531,171.4115092306,1995-01-14,790066980000,Earth,11.6500973732,41940.3505436064
45,2434632,434632 (2005 WE),False,291.4439045349,651.6883821679,1995-01-14,790046160000,Earth,10.1296631155,36466.7872158652
46,3457846,(2009 HG21),False,26.58,59.4346868419,1995-01-14,790084260000,Earth,13.7000461198,49320.1660312508
47,2495323,495323 (2014 JG78),False,319.5618867213,714.5621017269,1995-01-15,790212960000,Earth,10.8088500572,38911.8602059758
48,2510055,510055 (2010 FH81),True,127.2198785394,284.4722965033,1995-01-15,790138380000,Earth,9.8408312207,35426.9923944775
49,3514799,(2010 FH81),True,127.2198785394,284.4722965033,1995-01-15,790156800000,Earth,9.8408316738,35426.9940257225
50,3671135,(2014 JG78),False,319.5618867213,714.5621017269,1995-01-15,790156800000,Earth,10.8088439585,38911.83825064
51,3092506,(2001 WJ4),False,8.801465209,19.6806745089,1995-01-15,790160880000,Earth,11.1738744976,40225.948191338
52,3761747,(2016 UO41),False,35.0392641108,78.3501764334,1995-01-15,790154820000,Earth,10.3790222165,37364.4799793748
53,3709080,(2015 BV510),False,211.1324447897,472.1064988055,1995-01-15,790182960000,Earth,32.1281627776,115661.385999198
54,3485806,(2010 AL60),False,88.0146520901,196.8067450894,1995-01-12,789894300000,Earth,11.6706583618,42014.3701023385
55,3371143,(2007 EO88),False,13.9493822934,31.1917670523,1995-01-12,789922980000,Earth,9.8910525391,35607.7891408843
56,2230111,230111 (2001 BE10),True,402.3045798343,899.5803881691,1995-01-12,789936780000,Earth,16.2693534256,58569.6723322741
57,2002062,2062 Aten (1976 AA),False,1010.5434154201,2259.643771094,1995-01-12,789875040000,Earth,10.3240519745,37166.5871082511
58,3515451,(2010 GV23),False,8.0270316728,17.948988478,1995-01-12,789908040000,Earth,6.4940324303,23378.5167492441
59,3678562,(2014 OE338),False,167.7084621628,375.0075217981,1995-01-12,789913560000,Earth,18.236464048,65651.270572768
60,3766324,(2017 AY3),False,201.6299194428,450.8582061718,1995-01-12,789890520000,Earth,15.7875149268,56835.0537363864
61,3837932,(2019 AY13),False,84.0533402073,187.9489824394,1995-01-12,789938520000,Earth,18.2560546111,65721.7966001058
62,3837973,(2019 BO1),False,319.5618867213,714.5621017269,1995-01-12,789905580000,Earth,12.4614908455,44861.3670436585
