,amazon_product_url,author,description,publisher,title,oid,bestsellers_date.numberLong,published_date.numberLong,rank.numberInt,rank_last_week.numberInt,weeks_on_list.numberInt,price.numberDouble
0,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Descr: Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.     ","Little, Brown",THE HOST,5b4aa4ead3089013507db18c,2008-05-24 00:00:00,1212883200000,2,1,3,25.99
1,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20,Emily Giffin,Descr: A woman's happy marriage is shaken when she encounters an old boyfriend.     ,St. Martin's,LOVE THE ONE YOU'RE WITH,5b4aa4ead3089013507db18d,2008-05-24 00:00:00,1212883200000,3,2,2,24.95
2,http://www.amazon.com/The-Front-Garano-Patricia-Cornwell-ebook/dp/B0017T0C9M?tag=NYTBS-20,Patricia Cornwell,"Descr: A Massachusetts state investigator and his team from ""At Risk"" confront a rogue association of municipal police departments.     ",Putnam,THE FRONT,5b4aa4ead3089013507db18e,2008-05-24 00:00:00,1212883200000,4,0,1,22.95
3,http://www.amazon.com/Snuff-Chuck-Palahniuk/dp/0385517882?tag=NYTBS-20,Chuck Palahniuk,Descr: An aging porn queens aims to cap her career by having sex on film with 600 men in one day.     ,Doubleday,SNUFF,5b4aa4ead3089013507db18f,2008-05-24 00:00:00,1212883200000,5,0,1,24.95
5,http://www.amazon.com/Phantom-Prey-John-Sandford/dp/0425227987?tag=NYTBS-20,John Sandford,Descr: The Minneapolis detective Lucas Davenport investigates a string of murders of young Goths.     ,Putnam,PHANTOM PREY,5b4aa4ead3089013507db191,2008-05-24 00:00:00,1212883200000,7,4,3,26.95
6,http://www.amazon.com/From-Worse-Southern-Vampire-Mysteries/dp/0441015891?tag=NYTBS-20,Jimmy Buffett,Descr: A Southern family tries to hide its pet pig at a New York luxury hotel.     ,"Little, Brown",SWINE NOT?,5b4aa4ead3089013507db192,2008-05-24 00:00:00,1212883200000,8,6,2,21.99
7,http://www.amazon.com/Where-Are-You-Now-Novel/dp/1416566384?tag=NYTBS-20,Elizabeth George,"Descr: In Cornwall, trying to recover from his wife's death, Detective Thomas Lynley becomes involved in a murder investigation.     ",Harper,CARELESS IN RED,5b4aa4ead3089013507db193,2008-05-24 00:00:00,1212883200000,9,8,3,27.95
8,http://www.amazon.com/The-Whole-Truth-David-Baldacci/dp/0446539686?tag=NYTBS-20,David Baldacci,Descr: An intelligence agent and a journalist team up against a warmongering defense contractor.     ,Grand Central,THE WHOLE TRUTH,5b4aa4ead3089013507db194,2008-05-24 00:00:00,1212883200000,10,7,5,26.99
9,http://www.amazon.com/Unaccustomed-Earth-Jhumpa-Lahiri/dp/0307265730?tag=NYTBS-20,James Frey,"Descr: A novel, set in Los Angeles, by the author of ""A Million Little Pieces.""     ",Harper,BRIGHT SHINY MORNING,5b4aa4ead3089013507db196,2008-05-24 00:00:00,1212883200000,12,9,2,26.95
10,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20,Garth Stein,"Descr: A Lab-terrier mix with great insight into the human condition helps his owner, a struggling race car driver.     ",Harper,THE ART OF RACING IN THE RAIN,5b4aa4ead3089013507db197,2008-05-24 00:00:00,1212883200000,13,0,1,23.95
11,http://www.amazon.com/Twenty-Wishes-Blossom-Street-Books/dp/0778326314?tag=NYTBS-20,Debbie Macomber,Descr: A widow who owns a bookstore on Blossom Street compiles a list of things she always wanted to do.     ,Mira,TWENTY WISHES,5b4aa4ead3089013507db198,2008-05-24 00:00:00,1212883200000,14,10,4,24.95
13,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Descr: Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.     ","Little, Brown",THE HOST,5b4aa4ead3089013507db1a0,2008-05-31 00:00:00,1213488000000,No Rank,2,4,25.99
14,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20,Emily Giffin,Descr: A woman’s happy marriage is shaken when she encounters an old boyfriend.     ,St. Martin’s,LOVE THE ONE YOU'RE WITH,5b4aa4ead3089013507db1a2,2008-05-31 00:00:00,1213488000000,4,3,3,24.95
16,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20,Lauren Weisberger,"Descr: Three glamorous friends, New York women nearing 30, vow to change their lives.     ",Simon & Schuster,CHASING HARRY WINSTON,5b4aa4ead3089013507db1a4,2008-05-31 00:00:00,1213488000000,6,0,1,25.95
